Statistic,CT1,CT2,CT3,CTDC,,Source,SS,df,MS,F,P-value,F-critical
Mean,12.411764705882353,11.666666666666666,11.666666666666666,11.833333333333334,,Group,6.328431372549033,3.0,2.109477124183011,0.3516244073913303,0.7880957192020991,2.7481908884261816
Standard Error,0.6420258809689139,0.549169647365276,0.6103679378930738,0.5557189302262113,,Error,383.95098039215685,64.0,5.999234068627451,,,
Median,12.0,11.0,12.0,11.5,,Total,390.27941176470586,67.0,,,,
Mode,12.0,11.0,10.0,11.0,,,,,,,,
Standard Deviation,2.6471405216150634,2.126924898488314,2.5895718474182514,2.357715743980127,,,,,,,,
Sample Variance,7.00735294117647,4.523809523809524,6.705882352941177,5.558823529411764,,,,,,,,
Kurtosis,3.1444752096866306,-1.2932026422331129,1.466374269005847,0.21996584642087402,,,,,,,,
Skewness,1.48664643321973,0.5044251890086292,-0.7977339866989042,0.5571036571502544,,,,,,,,
Range,11.0,6.0,11.0,9.0,,,,,,,,
Minimum,9.0,9.0,5.0,8.0,,,,,,,,
Maximum,20.0,15.0,16.0,17.0,,,,,,,,
Sum,211.0,175.0,210.0,213.0,,,,,,,,
Count,17.0,15.0,18.0,18.0,,,,,,,,
Confidence Interval Length,1.3610340673030388,1.1778517490770772,1.2877637835767224,1.172464455888051,,,,,,,,
